"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Sat Feb 25 17:25:22 GMT 2023","Sat Feb 25 17:25:28 GMT 2023","5887","","Home navigation @jira(ISG-1)","","Home navigation @jira(ISG-1)","<navigation_element> navigates to the <navigated_to> page {""navigation_element"":""Sign in button"",""navigated_to"":""Sign in""} @id(TC-3) @smoke","<navigation_element> navigates to the <navigated_to> page {""navigation_element"":""Sign in button"",""navigated_to"":""Sign in""} @id(TC-3) @smoke",""
"failed","Sat Feb 25 17:25:34 GMT 2023","Sat Feb 25 17:25:43 GMT 2023","8142","","Sign up @jira(ISG-2)","","Sign up @jira(ISG-2)","Sign up page elements visibility @id(TC-4) @smoke","Sign up page elements visibility @id(TC-4) @smoke",""
"failed","Sat Feb 25 17:28:50 GMT 2023","Sat Feb 25 17:30:23 GMT 2023","92650","","Sign up @jira(ISG-2)","","Sign up @jira(ISG-2)","Email field validation - invalid case: <case> {""case"":""not verified domain"",""email"":""invalid@test.com"",""validation_error"":""Email domain could not be verified""} @id(TC-6) @regression","Email field validation - invalid case: <case> {""case"":""not verified domain"",""email"":""invalid@test.com"",""validation_error"":""Email domain could not be verified""} @id(TC-6) @regression",""
"failed","Sat Feb 25 17:34:58 GMT 2023","Sat Feb 25 17:36:28 GMT 2023","90536","","Sign up @jira(ISG-2)","","Sign up @jira(ISG-2)","Validation error disappears when the input field is cleared @id(TC-8) @regression","Validation error disappears when the input field is cleared @id(TC-8) @regression",""
"failed","Sat Feb 25 17:38:02 GMT 2023","Sat Feb 25 17:39:32 GMT 2023","90528","","Sign up @jira(ISG-2)","","Sign up @jira(ISG-2)","Domain suggestion is visible when a recognized domain is entered: <domain> {""domain_with_typo"":""ahoo.com"",""domain_suggestion"":""yahoo.com""} @id(TC-10) @smoke","Domain suggestion is visible when a recognized domain is entered: <domain> {""domain_with_typo"":""ahoo.com"",""domain_suggestion"":""yahoo.com""} @id(TC-10) @smoke",""
"passed","Sat Feb 25 17:25:19 GMT 2023","Sat Feb 25 17:25:21 GMT 2023","1446","","Home navigation @jira(ISG-1)","","Home navigation @jira(ISG-1)","Header menu items visibility @id(TC-1) @smoke","Header menu items visibility @id(TC-1) @smoke",""
"failed","Sat Feb 25 17:33:27 GMT 2023","Sat Feb 25 17:34:58 GMT 2023","90776","","Sign up @jira(ISG-2)","","Sign up @jira(ISG-2)","Email field validation - valid case @id(TC-7) @regression","Email field validation - valid case @id(TC-7) @regression",""
"passed","Sat Feb 25 17:25:43 GMT 2023","Sat Feb 25 17:25:47 GMT 2023","3741","","Sign up @jira(ISG-2)","","Sign up @jira(ISG-2)","Continue button is disabled by default @id(TC-5) @smoke","Continue button is disabled by default @id(TC-5) @smoke",""
"failed","Sat Feb 25 17:25:28 GMT 2023","Sat Feb 25 17:25:34 GMT 2023","5674","","Home navigation @jira(ISG-1)","","Home navigation @jira(ISG-1)","<navigation_element> navigates to the <navigated_to> page {""navigation_element"":""Sign up button"",""navigated_to"":""Sign up""} @id(TC-3) @smoke","<navigation_element> navigates to the <navigated_to> page {""navigation_element"":""Sign up button"",""navigated_to"":""Sign up""} @id(TC-3) @smoke",""
"failed","Sat Feb 25 17:27:18 GMT 2023","Sat Feb 25 17:28:50 GMT 2023","92134","","Sign up @jira(ISG-2)","","Sign up @jira(ISG-2)","Email field validation - invalid case: <case> {""case"":""email without domain extension"",""email"":""invalid@email"",""validation_error"":""Email is invalid or already taken""} @id(TC-6) @regression","Email field validation - invalid case: <case> {""case"":""email without domain extension"",""email"":""invalid@email"",""validation_error"":""Email is invalid or already taken""} @id(TC-6) @regression",""
