"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Feb 23 23:29:50 GMT 2023","Thu Feb 23 23:29:54 GMT 2023","3627","","Sign up","","Sign up","Sign up page elements visibility @id(TC-3) @smoke","Sign up page elements visibility @id(TC-3) @smoke",""
"failed","Thu Feb 23 23:30:28 GMT 2023","Thu Feb 23 23:30:38 GMT 2023","9261","","Sign up","","Sign up","Validation error disappears when the input field is cleared @id(TC-7) @regression","Validation error disappears when the input field is cleared @id(TC-7) @regression",""
"passed","Thu Feb 23 23:30:06 GMT 2023","Thu Feb 23 23:30:11 GMT 2023","4583","","Sign up","","Sign up","Email field validation - invalid case: <case> {""case"":""not verified domain"",""email"":""invalid@test.com"",""validation_error"":""Email domain could not be verified""} @id(TC-5) @regression","Email field validation - invalid case: <case> {""case"":""not verified domain"",""email"":""invalid@test.com"",""validation_error"":""Email domain could not be verified""} @id(TC-5) @regression",""
"failed","Thu Feb 23 23:30:16 GMT 2023","Thu Feb 23 23:30:24 GMT 2023","8405","","Sign up","","Sign up","Email field validation - invalid case: <case> {""case"":""email is already taken"",""email"":""test@gmail.com"",""validation_error"":""validation_error""} @id(TC-5) @regression","Email field validation - invalid case: <case> {""case"":""email is already taken"",""email"":""test@gmail.com"",""validation_error"":""validation_error""} @id(TC-5) @regression",""
"passed","Thu Feb 23 23:32:17 GMT 2023","Thu Feb 23 23:32:21 GMT 2023","4266","","Sign up","","Sign up","Domain suggestion is visible when a recognized domain is entered: <domain> {""domain_with_typo"":""fmail.com"",""domain_suggestion"":""gmail.com""} @id(TC-9) @smoke","Domain suggestion is visible when a recognized domain is entered: <domain> {""domain_with_typo"":""fmail.com"",""domain_suggestion"":""gmail.com""} @id(TC-9) @smoke",""
"passed","Thu Feb 23 23:29:45 GMT 2023","Thu Feb 23 23:29:46 GMT 2023","1349","","Home navigation","","Home navigation","Header elements visibility @id(TC-1) @smoke","Header elements visibility @id(TC-1) @smoke",""
"failed","Thu Feb 23 23:30:25 GMT 2023","Thu Feb 23 23:30:28 GMT 2023","3514","","Sign up","","Sign up","Email field validation - valid case @id(TC-6) @regression","Email field validation - valid case @id(TC-6) @regression",""
"passed","Thu Feb 23 23:29:54 GMT 2023","Thu Feb 23 23:29:57 GMT 2023","3438","","Sign up","","Sign up","Continue button is disabled by default @id(TC-4) @smoke","Continue button is disabled by default @id(TC-4) @smoke",""
"passed","Thu Feb 23 23:29:57 GMT 2023","Thu Feb 23 23:30:02 GMT 2023","4645","","Sign up","","Sign up","Email field validation - invalid case: <case> {""case"":""simple string value"",""email"":""simple_text"",""validation_error"":""Email is invalid or already taken""} @id(TC-5) @regression","Email field validation - invalid case: <case> {""case"":""simple string value"",""email"":""simple_text"",""validation_error"":""Email is invalid or already taken""} @id(TC-5) @regression",""
"passed","Thu Feb 23 23:32:21 GMT 2023","Thu Feb 23 23:32:25 GMT 2023","4203","","Sign up","","Sign up","Domain suggestion is visible when a recognized domain is entered: <domain> {""domain_with_typo"":""ahoo.com"",""domain_suggestion"":""yahoo.com""} @id(TC-9) @smoke","Domain suggestion is visible when a recognized domain is entered: <domain> {""domain_with_typo"":""ahoo.com"",""domain_suggestion"":""yahoo.com""} @id(TC-9) @smoke",""
"passed","Thu Feb 23 23:30:02 GMT 2023","Thu Feb 23 23:30:06 GMT 2023","4473","","Sign up","","Sign up","Email field validation - invalid case: <case> {""case"":""email without domain extension"",""email"":""invalid@email"",""validation_error"":""Email is invalid or already taken""} @id(TC-5) @regression","Email field validation - invalid case: <case> {""case"":""email without domain extension"",""email"":""invalid@email"",""validation_error"":""Email is invalid or already taken""} @id(TC-5) @regression",""
"passed","Thu Feb 23 23:29:46 GMT 2023","Thu Feb 23 23:29:50 GMT 2023","3501","","Home navigation","","Home navigation","Sign up button navigates to Sign up page @id(TC-2) @smoke","Sign up button navigates to Sign up page @id(TC-2) @smoke",""
"passed","Thu Feb 23 23:32:25 GMT 2023","Thu Feb 23 23:32:29 GMT 2023","3850","","Sign up","","Sign up","Domain suggestion is visible when a recognized domain is entered: <domain> {""domain_with_typo"":""htmail.com"",""domain_suggestion"":""hotmail.com""} @id(TC-9) @smoke","Domain suggestion is visible when a recognized domain is entered: <domain> {""domain_with_typo"":""htmail.com"",""domain_suggestion"":""hotmail.com""} @id(TC-9) @smoke",""
"passed","Thu Feb 23 23:30:11 GMT 2023","Thu Feb 23 23:30:16 GMT 2023","4965","","Sign up","","Sign up","Email field validation - invalid case: <case> {""case"":""max email length + 1"",""email"":""101_characters_looooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooong_email@testemail.com"",""validation_error"":""Email is invalid or already taken""} @id(TC-5) @regression","Email field validation - invalid case: <case> {""case"":""max email length + 1"",""email"":""101_characters_looooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooong_email@testemail.com"",""validation_error"":""Email is invalid or already taken""} @id(TC-5) @regression",""
"failed","Thu Feb 23 23:30:38 GMT 2023","Thu Feb 23 23:32:16 GMT 2023","98242","","Sign up","","Sign up","Domain suggestion is not visible when an unrecognized domain is entered @id(TC-8) @regression","Domain suggestion is not visible when an unrecognized domain is entered @id(TC-8) @regression",""
