"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Sat Feb 25 17:26:33 GMT 2023","Sat Feb 25 17:26:42 GMT 2023","8561","","Sign up @jira(ISG-2)","","Sign up @jira(ISG-2)","Sign up page elements visibility @id(TC-4) @smoke","Sign up page elements visibility @id(TC-4) @smoke",""
"passed","Sat Feb 25 17:37:24 GMT 2023","Sat Feb 25 17:37:26 GMT 2023","1700","","Sign up @jira(ISG-2)","","Sign up @jira(ISG-2)","Domain suggestion is not visible when an unrecognized domain is entered @id(TC-9) @regression","Domain suggestion is not visible when an unrecognized domain is entered @id(TC-9) @regression",""
"failed","Sat Feb 25 17:32:52 GMT 2023","Sat Feb 25 17:34:24 GMT 2023","92512","","Sign up @jira(ISG-2)","","Sign up @jira(ISG-2)","Email field validation - invalid case: <case> {""case"":""email is already taken"",""email"":""test@gmail.com"",""validation_error"":""Email is invalid or already taken""} @id(TC-6) @regression","Email field validation - invalid case: <case> {""case"":""email is already taken"",""email"":""test@gmail.com"",""validation_error"":""Email is invalid or already taken""} @id(TC-6) @regression",""
"failed","Sat Feb 25 17:29:49 GMT 2023","Sat Feb 25 17:31:21 GMT 2023","91973","","Sign up @jira(ISG-2)","","Sign up @jira(ISG-2)","Email field validation - invalid case: <case> {""case"":""not verified domain"",""email"":""invalid@test.com"",""validation_error"":""Email domain could not be verified""} @id(TC-6) @regression","Email field validation - invalid case: <case> {""case"":""not verified domain"",""email"":""invalid@test.com"",""validation_error"":""Email domain could not be verified""} @id(TC-6) @regression",""
"failed","Sat Feb 25 17:40:26 GMT 2023","Sat Feb 25 17:41:56 GMT 2023","89950","","Sign up @jira(ISG-2)","","Sign up @jira(ISG-2)","Domain suggestion is visible when a recognized domain is entered: <domain> {""domain_with_typo"":""htmail.com"",""domain_suggestion"":""hotmail.com""} @id(TC-10) @smoke","Domain suggestion is visible when a recognized domain is entered: <domain> {""domain_with_typo"":""htmail.com"",""domain_suggestion"":""hotmail.com""} @id(TC-10) @smoke",""
"failed","Sat Feb 25 17:31:21 GMT 2023","Sat Feb 25 17:32:52 GMT 2023","91073","","Sign up @jira(ISG-2)","","Sign up @jira(ISG-2)","Email field validation - invalid case: <case> {""case"":""max email length + 1"",""email"":""101_characters_looooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooong_email@testemail.com"",""validation_error"":""Email is invalid or already taken""} @id(TC-6) @regression","Email field validation - invalid case: <case> {""case"":""max email length + 1"",""email"":""101_characters_looooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooong_email@testemail.com"",""validation_error"":""Email is invalid or already taken""} @id(TC-6) @regression",""
"passed","Sat Feb 25 17:26:42 GMT 2023","Sat Feb 25 17:26:45 GMT 2023","3327","","Sign up @jira(ISG-2)","","Sign up @jira(ISG-2)","Continue button is disabled by default @id(TC-5) @smoke","Continue button is disabled by default @id(TC-5) @smoke",""
"failed","Sat Feb 25 17:38:56 GMT 2023","Sat Feb 25 17:40:26 GMT 2023","89729","","Sign up @jira(ISG-2)","","Sign up @jira(ISG-2)","Domain suggestion is visible when a recognized domain is entered: <domain> {""domain_with_typo"":""ahoo.com"",""domain_suggestion"":""yahoo.com""} @id(TC-10) @smoke","Domain suggestion is visible when a recognized domain is entered: <domain> {""domain_with_typo"":""ahoo.com"",""domain_suggestion"":""yahoo.com""} @id(TC-10) @smoke",""
"failed","Sat Feb 25 17:28:18 GMT 2023","Sat Feb 25 17:29:49 GMT 2023","91035","","Sign up @jira(ISG-2)","","Sign up @jira(ISG-2)","Email field validation - invalid case: <case> {""case"":""email without domain extension"",""email"":""invalid@email"",""validation_error"":""Email is invalid or already taken""} @id(TC-6) @regression","Email field validation - invalid case: <case> {""case"":""email without domain extension"",""email"":""invalid@email"",""validation_error"":""Email is invalid or already taken""} @id(TC-6) @regression",""
"failed","Sat Feb 25 17:35:54 GMT 2023","Sat Feb 25 17:37:24 GMT 2023","89930","","Sign up @jira(ISG-2)","","Sign up @jira(ISG-2)","Validation error disappears when the input field is cleared @id(TC-8) @regression","Validation error disappears when the input field is cleared @id(TC-8) @regression",""
"passed","Sat Feb 25 17:26:23 GMT 2023","Sat Feb 25 17:26:25 GMT 2023","1353","","Home navigation @jira(ISG-1)","","Home navigation @jira(ISG-1)","Header menu items visibility @id(TC-1) @smoke","Header menu items visibility @id(TC-1) @smoke",""
"passed","Sat Feb 25 17:26:25 GMT 2023","Sat Feb 25 17:26:26 GMT 2023","1232","","Home navigation @jira(ISG-1)","","Home navigation @jira(ISG-1)","Sign in and Sign up buttons visibility @id(TC-2) @smoke","Sign in and Sign up buttons visibility @id(TC-2) @smoke",""
"failed","Sat Feb 25 17:37:26 GMT 2023","Sat Feb 25 17:38:56 GMT 2023","90241","","Sign up @jira(ISG-2)","","Sign up @jira(ISG-2)","Domain suggestion is visible when a recognized domain is entered: <domain> {""domain_with_typo"":""fmail.com"",""domain_suggestion"":""gmail.com""} @id(TC-10) @smoke","Domain suggestion is visible when a recognized domain is entered: <domain> {""domain_with_typo"":""fmail.com"",""domain_suggestion"":""gmail.com""} @id(TC-10) @smoke",""
"passed","Sat Feb 25 17:26:29 GMT 2023","Sat Feb 25 17:26:33 GMT 2023","4055","","Home navigation @jira(ISG-1)","","Home navigation @jira(ISG-1)","<navigation_element> navigates to the <navigated_to> page {""navigation_element"":""Sign up button"",""navigated_to"":""Sign up""} @id(TC-3) @smoke","<navigation_element> navigates to the <navigated_to> page {""navigation_element"":""Sign up button"",""navigated_to"":""Sign up""} @id(TC-3) @smoke",""
