"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat Feb 25 17:20:08 GMT 2023","Sat Feb 25 17:20:12 GMT 2023","4235","","Sign up @jira(ISG-2)","","Sign up @jira(ISG-2)","Domain suggestion is visible when a recognized domain is entered: <domain> {""domain_with_typo"":""fmail.com"",""domain_suggestion"":""gmail.com""} @id(TC-10) @smoke","Domain suggestion is visible when a recognized domain is entered: <domain> {""domain_with_typo"":""fmail.com"",""domain_suggestion"":""gmail.com""} @id(TC-10) @smoke",""
"passed","Sat Feb 25 17:20:00 GMT 2023","Sat Feb 25 17:20:04 GMT 2023","4371","","Sign up @jira(ISG-2)","","Sign up @jira(ISG-2)","Validation error disappears when the input field is cleared @id(TC-8) @regression","Validation error disappears when the input field is cleared @id(TC-8) @regression",""
"passed","Sat Feb 25 17:19:56 GMT 2023","Sat Feb 25 17:20:00 GMT 2023","3827","","Sign up @jira(ISG-2)","","Sign up @jira(ISG-2)","Email field validation - valid case @id(TC-7) @regression","Email field validation - valid case @id(TC-7) @regression",""
"passed","Sat Feb 25 17:19:11 GMT 2023","Sat Feb 25 17:19:13 GMT 2023","1279","","Home navigation @jira(ISG-1)","","Home navigation @jira(ISG-1)","Header menu items visibility @id(TC-1) @smoke","Header menu items visibility @id(TC-1) @smoke",""
"failed","Sat Feb 25 17:19:14 GMT 2023","Sat Feb 25 17:19:20 GMT 2023","5925","","Home navigation @jira(ISG-1)","","Home navigation @jira(ISG-1)","<navigation_element> navigates to the <navigated_to> page {""navigation_element"":""Sign in button"",""navigated_to"":""Sign in""} @id(TC-3) @smoke","<navigation_element> navigates to the <navigated_to> page {""navigation_element"":""Sign in button"",""navigated_to"":""Sign in""} @id(TC-3) @smoke",""
"passed","Sat Feb 25 17:19:13 GMT 2023","Sat Feb 25 17:19:14 GMT 2023","1482","","Home navigation @jira(ISG-1)","","Home navigation @jira(ISG-1)","Sign in and Sign up buttons visibility @id(TC-2) @smoke","Sign in and Sign up buttons visibility @id(TC-2) @smoke",""
"passed","Sat Feb 25 17:19:26 GMT 2023","Sat Feb 25 17:19:30 GMT 2023","3367","","Sign up @jira(ISG-2)","","Sign up @jira(ISG-2)","Sign up page elements visibility @id(TC-4) @smoke","Sign up page elements visibility @id(TC-4) @smoke",""
"failed","Sat Feb 25 17:19:20 GMT 2023","Sat Feb 25 17:19:26 GMT 2023","5742","","Home navigation @jira(ISG-1)","","Home navigation @jira(ISG-1)","<navigation_element> navigates to the <navigated_to> page {""navigation_element"":""Sign up button"",""navigated_to"":""Sign up""} @id(TC-3) @smoke","<navigation_element> navigates to the <navigated_to> page {""navigation_element"":""Sign up button"",""navigated_to"":""Sign up""} @id(TC-3) @smoke",""
"passed","Sat Feb 25 17:19:46 GMT 2023","Sat Feb 25 17:19:51 GMT 2023","5694","","Sign up @jira(ISG-2)","","Sign up @jira(ISG-2)","Email field validation - invalid case: <case> {""case"":""max email length + 1"",""email"":""101_characters_looooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooong_email@testemail.com"",""validation_error"":""Email is invalid or already taken""} @id(TC-6) @regression","Email field validation - invalid case: <case> {""case"":""max email length + 1"",""email"":""101_characters_looooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooong_email@testemail.com"",""validation_error"":""Email is invalid or already taken""} @id(TC-6) @regression",""
"passed","Sat Feb 25 17:19:51 GMT 2023","Sat Feb 25 17:19:56 GMT 2023","4487","","Sign up @jira(ISG-2)","","Sign up @jira(ISG-2)","Email field validation - invalid case: <case> {""case"":""email is already taken"",""email"":""test@gmail.com"",""validation_error"":""Email is invalid or already taken""} @id(TC-6) @regression","Email field validation - invalid case: <case> {""case"":""email is already taken"",""email"":""test@gmail.com"",""validation_error"":""Email is invalid or already taken""} @id(TC-6) @regression",""
